STATE,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,TOTAL
 ALABAMA,1487,1572,1487,1781,1873,2053,10253
 ALASKA,205,273,260,246,213,199,1396
 ARIZONA,4391,5488,6389,7306,8746,9734,42054
 ARKANSAS,1680,1890,2442,2329,3015,3406,14762
 CALIFORNIA,65690,76402,83852,98512,115743,119741,559940
 COLORADO,3630,4378,4889,5811,6827,6502,32037
 CONNECTICUT,5885,7827,7447,8917,10142,10035,50253
 DELAWARE,2152,2348,3172,3184,3760,3522,18138
 DISTRICT OF COLUMBIA,3491,3570,3687,3727,4099,4134,22708
 FLORIDA,15227,16368,15283,17644,20401,20850,105773
 GEORGIA,10829,12733,13994,17728,23026,24857,103167
 HAWAII,655,725,615,602,598,557,3752
 IDAHO,638,644,635,609,778,887,4191
 ILLINOIS,18595,22350,24510,27407,32768,35184,160814
 INDIANA,3837,4340,4281,5509,6150,6399,30516
 IOWA,2308,2513,2607,3168,3207,2940,16743
 KANSAS,1713,2046,2233,2424,2598,2768,13782
 KENTUCKY,1600,2017,1889,2170,2403,2623,12702
 LOUISIANA,1615,1661,1662,1838,2702,2191,11669
 MAINE,541,586,672,714,718,687,3918
 MARYLAND,8544,8350,8132,9601,10891,10738,56256
 MASSACHUSETTS,14720,16556,16898,19913,23488,24891,116466
 MICHIGAN,8305,9918,11535,13918,18318,20970,82964
 MINNESOTA,5683,6900,7194,8996,9975,9937,48685
 MISSISSIPPI,648,645,668,678,792,839,4270
 MISSOURI,3756,4714,4988,6200,7182,7973,34813
 MONTANA,163,137,156,134,205,191,986
 NA,526,820,474,547,666,571,3604
 NEBRASKA,1089,1242,1388,1708,1815,2014,9256
 NEVADA,1129,1223,1119,1231,1350,1396,7448
 NEW HAMPSHIRE,1185,1526,1558,1676,2078,1906,9929
 NEW JERSEY,23611,27856,29794,36783,47662,48370,214076
 NEW MEXICO,782,953,854,908,1005,1039,5541
 NEW YORK,41769,44512,42565,48877,55017,58670,291410
 NORTH CAROLINA,7783,10411,11668,13550,17413,18847,79672
 NORTH DAKOTA,403,446,469,490,575,544,2927
 OHIO,8582,10426,11642,13515,16066,16344,76575
 OKLAHOMA,1457,1656,1577,1846,2046,2015,10597
 OREGON,2859,3103,3712,4595,4803,4718,23790
 PENNSYLVANIA,12896,15552,16779,19150,22202,23380,109959
 PUERTO RICO,309,311,207,209,214,202,1452
 RHODE ISLAND,1038,1323,1792,2225,2881,2458,11717
 SOUTH CAROLINA,1628,1795,1672,2084,2801,2952,12932
 SOUTH DAKOTA,328,286,261,281,398,348,1902
 TENNESSEE,3463,4544,4268,4584,5161,5652,27672
 TEXAS,31431,37943,42216,51851,62550,68463,294454
 UTAH,1451,1753,1945,2369,2702,2887,13107
 VERMONT,304,296,262,362,351,366,1941
 VIRGINIA,11062,12423,13122,15475,19045,18901,90028
 WASHINGTON,11359,13217,15493,17917,21665,23150,102801
 WEST VIRGINIA,441,491,519,431,579,618,3079
 WISCONSIN,3761,4384,5053,5529,6898,7047,32672
 WYOMING,133,164,128,168,166,137,896
